campus,entity,L1,L1_2021,L2,L3,persistence,L4,L5,n_wos,n_years_active,tau_campus,r_L1,r_L2,r_L3,r_L4,r_L5,n_ledgers,mean_rank,meii,meii_iqr,L6
9,B30,853948.9700000001,948061.6615425297,16179.2504,2256.25,0.8928571428571429,533394.6,0.4128908583071096,2527,7,638.88,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5,0.35714285714285715,5,0.42857142857142855,0.050507627227610534,0.0,1366457.0768865298
9,C10,1470959.26,1632208.791282943,26969.9994,7702.5,0.9285714285714286,775022.83,0.47589165314775855,8295,7,638.88,0.5,0.5714285714285714,0.6428571428571429,0.5714285714285714,0.7142857142857143,5,0.6,0.0814411017927956,0.07142857142857151,2329652.975766943
9,C20,80758.70000000001,89339.55994008703,1665.0,300.0,0.8928571428571429,36096.369999999995,0.5303964297013457,336,7,638.88,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.7857142857142857,5,0.2857142857142857,0.28121456692899327,0.07142857142857142,132396.45994008702
9,C30,1726000.443,1904605.0615323167,36671.002199999995,4326.785714285715,0.8928571428571429,1117526.19,0.429734011585405,4846,7,638.88,0.6428571428571429,0.7857142857142857,0.5714285714285714,0.6428571428571429,0.5,5,0.6285714285714286,0.10594569267279517,0.07142857142857151,2852917.1784243165
9,D20,4812299.43,5326607.533705979,76170.7506,27178.357142857145,0.9285714285714286,1434338.01,0.31610968074922785,29269,7,638.88,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.07142857142857142,5,0.6857142857142857,0.34478623960420485,0.0714285714285714,7296383.144221978
9,D30,12070985.261000002,13381646.831278568,177213.9302,46450.857142857145,0.9285714285714286,5259869.72,0.36546016779196105,50024,7,638.88,1.0,1.0,1.0,1.0,0.21428571428571427,5,0.8428571428571429,0.35138211074996695,0.0,17964399.06625057
9,D40,2639138.13,2925378.9002901707,32356.7499,10822.5,0.9285714285714286,1161259.72,0.37819454851624706,11655,7,638.88,0.7857142857142857,0.7142857142857143,0.7857142857142857,0.7142857142857143,0.2857142857142857,5,0.6571428571428571,0.2106840171964661,0.0714285714285714,3762124.4527041707
9,D50,5980719.791,6638721.200148774,90742.0105,43977.142857142855,0.9285714285714286,1731060.6409999998,0.33711232044850836,47360,7,638.88,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.14285714285714285,5,0.7571428571428571,0.3447862396042049,0.07142857142857151,8985309.591678774
9,D90,1484612.262,1633387.46639251,26392.4996,8671.0,0.9285714285714286,479477.99100000004,0.42227844393515146,9338,7,638.88,0.5714285714285714,0.5,0.7142857142857143,0.42857142857142855,0.42857142857142855,5,0.5285714285714285,0.11952286093343938,0.14285714285714285,2315897.50604851
9,E10,2573015.1799999997,2882597.269018353,29244.43,4107.071428571428,0.9285714285714286,2020201.26,0.5834283560999083,4423,7,638.88,0.7142857142857143,0.6428571428571429,0.5,0.9285714285714286,0.9285714285714286,5,0.7428571428571429,0.18626292586293283,0.2857142857142857,3638858.228818353
9,E20,242899.1,268503.6319257192,4359.75,1380.357142857143,0.8928571428571429,85074.7,0.46245811231423095,1546,7,638.88,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.6428571428571429,5,0.3571428571428571,0.159719141249985,0.0,381246.7669257192
9,F10,69205.48000000001,76518.50558690663,825.0,257.14285714285717,0.8928571428571429,26373.07,0.5699144802611398,288,7,638.88,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.8571428571428571,5,0.24285714285714283,0.34478623960420485,0.07142857142857142,97853.00558690663
